Title,Artist,Album,Track,Genre,Year,Length,Filename,rms_perc_mean,rms_harm_mean,spectral_contrast_0,spectral_contrast_5,mfcc_2,mfcc_3,mfcc_4,Tempo
Everybody's Had the Blues (with Joe Louis Walker),B.B. King,Blues Summit,12/12,Blues,1993,275.0,B.B. King - 12 - Everybody's Had the Blues (with Joe Louis Walker).mp3,0.03406286270469632,0.06423767216875732,14.76407989378627,18.751152977490236,-24.948105,36.458035,-1.4265603,103.359375
You Must Learn,B.D.P.,East vs. West: Rap Battle Royale,02/10,Hip Hop,1991,235.0,B.D.P. - 02 - You Must Learn.mp3,0.02604843599022921,0.03489563847367675,14.217709640280093,15.722011446449006,-24.948105,36.458035,-1.4265603,143.5546875
Multiplexor,Back From The Wave,Various Artists #2,6,Electronic,2021,340.0,Back From The Wave - 06 - Multiplexor.mp3,0.031563931938518,0.12426569019818198,19.76303863465179,14.695772696361745,-24.948105,36.458035,-1.4265603,62.26468373493976
Bakchich Vaudoo,Back From The Wave,Various Artists #1,13,Electronic,2020,394.0,Back From The Wave - 13 - Bakchich Vaudoo.mp3,0.025564098123391745,0.051509546594539594,19.74896279372015,15.102814241716004,-24.948105,36.458035,-1.4265603,117.45383522727273
Le Temple Du Soleil,Badknife,Various Artists #1,8,Electronic,2020,375.0,Badknife - 08 - Le Temple Du Soleil.mp3,0.03624646398892766,0.09131243922331662,16.38402409404388,14.944005111717875,-24.948105,36.458035,-1.4265603,59.40193965517241
La Illaha (Original Mix),Bahramji,"Chill out Magnifique, Vol. 1",21,Electronic Chill,2019-10-25,430.0,Bahramji - 21 - La Illaha (Original Mix).mp3,0.0076218431256829325,0.028242267535566287,12.048216429702606,23.838170693665987,-24.948105,36.458035,-1.4265603,99.38401442307692
Sem Fronteiras (Original Mix),Baroni,"Chill out Magnifique, Vol. 1",16,Electronic Chill,2019-10-25,363.0,Baroni - 16 - Sem Fronteiras (Original Mix).mp3,0.027908646547716177,0.0378367077924709,17.863095449937774,15.315919849933906,-24.948105,36.458035,-1.4265603,191.40625
Pompeii,"Bastille, Mark Crew, Joshua Platman, Dan Smith, Will farquarson, Chris Wood, Ralph Pelleymounter, Jon Willoughby, Ian Dudfield",100 Greatest Modern Pop Songs,27,Pop,2020,214.0,"Bastille, Mark Crew, Joshua Platman, Dan Smith, Will farquarson, Chris Wood, Ralph Pelleymounter, Jon Willoughby, Ian Dudfield - 27 - Pompeii.mp3",0.04488304028186147,0.11487945167905873,19.164343506607906,19.07686821234169,-24.948105,36.458035,-1.4265603,126.04801829268293
Soulville,Ben Webster,(1957) Soulville,01,Jazz,1957,484.0,Ben Webster - 01 - Soulville.mp3,0.006279692333920649,0.04341441249709056,15.18053433271708,17.02600165565223,-24.948105,36.458035,-1.4265603,135.99917763157896
Late Date,Ben Webster,(1957) Soulville,02,Jazz,1957,436.0,Ben Webster - 02 - Late Date.mp3,0.015206620769972925,0.05413847030168036,16.68671359585566,20.460619855545847,-24.948105,36.458035,-1.4265603,120.18531976744185
The Man I Love,Ben Webster,(1972) with Tete Montoliu Trio - Gentle Ben,02,Jazz,1972,340.0,Ben Webster - 02 - The Man I Love.mp3,0.002232072949169928,0.022180204592927143,13.37461698548451,18.719082716110677,-24.948105,36.458035,-1.4265603,184.5703125
