Title;Artist;Album;Track;Genre;Year;Length;Filename;
Just One Of Those Things;Al Haig;(1949-54) Trio & Sextets;01;Jazz Piano;1954;240;Al Haig - 01 - Just One Of Those Things.mp3;
Yardbird Suite;Al Haig;(1949-54) Trio & Sextets;02;Jazz Piano;1954;187;Al Haig - 02 - Yardbird Suite.mp3;
Taboo;Al Haig;(1949-54) Trio & Sextets;03;Jazz Piano;1954;165;Al Haig - 03 - Taboo.mp3;
Mighty Like A Rose;Al Haig;(1949-54) Trio & Sextets;04;Jazz Piano;1954;292;Al Haig - 04 - Mighty Like A Rose.mp3;
Faded;Alan Walker;100 Greatest Modern Pop Songs;25;Pop;2020;213;Alan Walker - 25 - Faded.mp3;
Schubert - String Quartet #15 in G major - IV. Allegro assai;Alban Berg SQ;Schubert - String Quartet #15 D887 in G (Berg);4;Classical;1980;610;Alban Berg SQ - 04 - Schubert - String Quartet #15 in G major - IV. Allegro assai.mp3;
Markov-Gershwin - 'Porgy' Rhapsody (with orchestra);Albert Markov;Markov plays Markov;08;Classical;1993;777;Albert Markov - 08 - Markov-Gershwin - 'Porgy' Rhapsody (with orchestra).mp3;
Return To The Truth;Alex Aguayo, Silicodisco;Various Artists #2;8;Electronic;2021;449;Alex Aguayo, Silicodisco - 08 - Return To The Truth.mp3;
Hope (Original Mix);Alexander Berry;Chill out Magnifique, Vol. 1;20;Electronic Chill;2019-10-25;192;Alexander Berry - 20 - Hope (Original Mix).mp3;
Callejon Oscuro;Alvaro Cabana;Various Artists #1;5;Electronic;2020;386;Alvaro Cabana - 05 - Callejon Oscuro.mp3;
Breath Easy Now (Original Mix);Ambient North;Chill out Magnifique, Vol. 2;17;Electronic Chill;2019-11-22;259;Ambient North - 17 - Breath Easy Now (Original Mix).mp3;
Less is more for the track, you know;Andreja Salpe;Various Artists #2;1;Electronic;2021;494;Andreja Salpe - 01 - Less is more for the track, you know.mp3;
 Wish I Don't Miss You;Angie Stone ;The Ultimate Collection Soul 100 Hits CD04;6;Soul;2008;258;Angie Stone  - 06 -  Wish I Don't Miss You.mp3;
Berlioz - Symphonie fantastique - I. Reveries, passions;Ansermet - OSR;Berlioz - Symphonie fantastique (Ansermet, OSR);1;Classical;1967;822;Ansermet - OSR - 01 - Berlioz - Symphonie fantastique - I. Reveries, passions.mp3;
Berlioz - Symphonie fantastique - II. Un bal;Ansermet - OSR;Berlioz - Symphonie fantastique (Ansermet, OSR);2;Classical;1967;371;Ansermet - OSR - 02 - Berlioz - Symphonie fantastique - II. Un bal.mp3;
Berlioz - Symphonie fantastique - III. Scène aux champs;Ansermet - OSR;Berlioz - Symphonie fantastique (Ansermet, OSR);3;Classical;1967;967;Ansermet - OSR - 03 - Berlioz - Symphonie fantastique - III. Scène aux champs.mp3;
Berlioz - Symphonie fantastique - IV. Marche au supplice;Ansermet - OSR;Berlioz - Symphonie fantastique (Ansermet, OSR);4;Classical;1967;309;Ansermet - OSR - 04 - Berlioz - Symphonie fantastique - IV. Marche au supplice.mp3;
Berlioz - Symphonie fantastique - V. Songe d'une nuit du sabbat;Ansermet - OSR;Berlioz - Symphonie fantastique (Ansermet, OSR);5;Classical;1967;623;Ansermet - OSR - 05 - Berlioz - Symphonie fantastique - V. Songe d'une nuit du sabbat.mp3;
Berlioz - Le Carnaval Romain - Overture;Ansermet - OSR;Berlioz - Overtures, Faust  (Ansermet, OSR);7;Classical;1964;571;Ansermet - OSR - 07 - Berlioz - Le Carnaval Romain - Overture.mp3;
Berlioz - La damnation de Faust - Danse des Sylphes;Ansermet - OSR;Berlioz - Overtures, Faust  (Ansermet, OSR);8;Classical;1964;138;Ansermet - OSR - 08 - Berlioz - La damnation de Faust - Danse des Sylphes.mp3;
Berlioz - La damnation de Faust - Marche Hongroise;Ansermet - OSR;Berlioz - Overtures, Faust  (Ansermet, OSR);9;Classical;1964;291;Ansermet - OSR - 09 - Berlioz - La damnation de Faust - Marche Hongroise.mp3;
Devotion;Aperio/Georgia Ward;Liquicity Summer 2021;2;Electronic;2021;298;AperioGeorgia Ward - 02 - Devotion.mp3;
Chain Of Fools;Aretha Franklin;Classic R&B;2/14;Rhythm n Blues;2003;166;Aretha Franklin - 02 - Chain Of Fools.mp3;
Think;Aretha Franklin;Respect - The Very Best Of Aretha Franklin (Disc 1);2/24;Rhythm n Blues;2003;136;Aretha Franklin - 02 - Think.mp3;
Son of a Preacher Man;Aretha Franklin;Respect - The Very Best Of Aretha Franklin (Disc 1);6/24;Rhythm n Blues;2003;196;Aretha Franklin - 06 - Son of a Preacher Man.mp3;
I Never Loved a Man (The Way I Love You);Aretha Franklin;Respect - The Very Best Of Aretha Franklin (Disc 1);7/24;Rhythm n Blues;2003;169;Aretha Franklin - 07 - I Never Loved a Man (The Way I Love You).mp3;
Night Time Is The Right Time;Aretha Franklin;Respect - The Very Best Of Aretha Franklin (Disc 2);8/19;Rhythm n Blues;2002;285;Aretha Franklin - 08 - Night Time Is The Right Time.mp3;
Don't Play That Song (You Lied);Aretha Franklin;Respect - The Very Best Of Aretha Franklin (Disc 1);9/24;Rhythm n Blues;2003;179;Aretha Franklin - 09 - Don't Play That Song (You Lied).mp3;
Baby, I Love You;Aretha Franklin;The Very Best Of Aretha Franklin;12/20;Rhythm n Blues;1994;159;Aretha Franklin - 12 - Baby, I Love You.mp3;
The Weight;Aretha Franklin;The Very Best;13/16;Rhythm n Blues;1994;175;Aretha Franklin - 13 - The Weight.mp3;
Eleanor Rigby;Aretha Franklin;The Very Best;14/16;Rhythm n Blues;1994;158;Aretha Franklin - 14 - Eleanor Rigby.mp3;
Today I Sing The Blues;Aretha Franklin;Respect - The Very Best Of Aretha Franklin (Disc 2);14/19;Rhythm n Blues;2002;262;Aretha Franklin - 14 - Today I Sing The Blues.mp3;
Good Times;Aretha Franklin;Respect - The Very Best Of Aretha Franklin (Disc 1);17/24;Rhythm n Blues;2003;126;Aretha Franklin - 17 - Good Times.mp3;
Do Right Woman - Do Right Man;Aretha Franklin;Respect - The Very Best Of Aretha Franklin (Disc 1);21/24;Rhythm n Blues;2003;193;Aretha Franklin - 21 - Do Right Woman - Do Right Man.mp3;
One Last Time;Ariana Grande, Carl Falk, Savan Kotecha, Jeanette Olsson;100 Greatest Modern Pop Songs;17;Pop;2020;197;Ariana Grande, Carl Falk, Savan Kotecha, Jeanette Olsson - 17 - One Last Time.mp3;
Moanin';Art Blakey;Moanin', 1958;02;Jazz;1958;571;Art Blakey - 02 - Moanin'.mp3;
Just One Of Those Things;Art Tatum;(1956) Art Tatum Trio;01;Jazz Piano;1956;434;Art Tatum - 01 - Just One Of Those Things.mp3;
More Than You Know;Art Tatum;(1956) Art Tatum Trio;02;Jazz Piano;1956;217;Art Tatum - 02 - More Than You Know.mp3;
Some Other Spring;Art Tatum;(1956) Art Tatum Trio;03;Jazz Piano;1956;284;Art Tatum - 03 - Some Other Spring.mp3;
If;Art Tatum;(1956) Art Tatum Trio;04;Jazz Piano;1956;213;Art Tatum - 04 - If.mp3;
Beethoven - Sonata No. 1 - 1. Alegro con brio Tema con variazioni;Arthur Grumiaux;Beethoven - Sonata No. 1 in D, Op. 12, No. 1 (Grumiaux);1;Classical;1957;398;Arthur Grumiaux - 01 - Beethoven - Sonata No. 1 - 1. Alegro con brio Tema con variazioni.mp3;
Mozart - Concerto No.1 in B flat KV207 - 1. Allegro moderato ;Arthur Grumiaux;Mozart - Concerto No.1 in B flat KV207 (Grumiaux,1962);01;Classical;1962;395;Arthur Grumiaux - 01 - Mozart - Concerto No.1 in B flat KV207 - 1. Allegro moderato .mp3;
Haydn - Concerto No. 1 in C major, H. 7a/1: 2 Adagio;Arthur Grumiaux;Haydn - Concerto No.1 in C major, H. 7a/1 (Grumiaux);2/9;Classical;1964;275;Arthur Grumiaux - 02 - Haydn - Concerto No. 1 in C major, H. 7a1 2 Adagio.mp3;
Mozart - Concerto No.1 in B flat KV207 - 2. Adagio ;Arthur Grumiaux;Mozart - Concerto No.1 in B flat KV207 (Grumiaux,1962);02;Classical;1962;417;Arthur Grumiaux - 02 - Mozart - Concerto No.1 in B flat KV207 - 2. Adagio .mp3;
Bach Concerto for 2 Violins in D Minor - III.;Arthur Grumiaux;Bach - Concerto for 2 Violins in D Minor, BVW 1043 (Grumiaux);03;Classical;1978;305;Arthur Grumiaux - 03 - Bach Concerto for 2 Violins in D Minor - III..mp3;
Bruch - Scottish Fantasy, Op.46 - III. Scherzo - Allegro - Adagio;Arthur Grumiaux;Bruch - Scottish Fantasy, Op.46 (Grumiaux);03/11;Classical;1973;377;Arthur Grumiaux - 03 - Bruch - Scottish Fantasy, Op.46 - III. Scherzo - Allegro - Adagio.mp3;
Haydn - Concerto in G major, H. 7a/4: 3 Allegro;Arthur Grumiaux;Haydn - Concerto No.4 in G major, H. 7a/4 (Grumiaux);03/9;Classical;1967;231;Arthur Grumiaux - 03 - Haydn - Concerto in G major, H. 7a4 3 Allegro.mp3;
Beethoven: Violin Romance #2 In F, Op. 50;Arthur Grumiaux;(1967-75) Showpieces with Orchestra;07/5;Classical;1974;483;Arthur Grumiaux - 07 - Beethoven Violin Romance #2 In F, Op. 50.mp3;
Vivaldi - Concerto in E, RV 271 'L'amoroso', III Allegro;Arthur Grumiaux;Vivaldi - Concerto in E, RV 271 'L'amoroso' (Grumiaux);11/11;Classical;1973;222;Arthur Grumiaux - 11 - Vivaldi - Concerto in E, RV 271 'L'amoroso', III Allegro.mp3;
Secret Lovers;Atlantic Starr ;The Ultimate Collection Soul 100 Hits CD02;4;Soul;2008;217;Atlantic Starr  - 04 - Secret Lovers.mp3;
Voodoo Rythm;Atlas 221;Various Artists #1;4;Electronic;2020;394;Atlas 221 - 04 - Voodoo Rythm.mp3;
Noa (feat. Leonie);Audioleptika;Winter Collection 2017;11/19;Electronic;2017;429;Audioleptika - 11 - Noa (feat. Leonie).mp3;
Wake Me Up;Avicii, Aloe Blacc, Mike Einziger;100 Greatest Modern Pop Songs;15;Pop;2020;426;Avicii, Aloe Blacc, Mike Einziger - 15 - Wake Me Up.mp3;
Playin' with My Friends (with Robert Cray);B.B. King;Blues Summit;1/12;Blues;1993;319;B.B. King - 01 - Playin' with My Friends (with Robert Cray).mp3;
Since I Met You Baby (with Katie Webster);B.B. King;Blues Summit;2/12;Blues;1993;285;B.B. King - 02 - Since I Met You Baby (with Katie Webster).mp3;
I Pity the Fool (with Buddy Guy);B.B. King;Blues Summit;3/12;Blues;1993;277;B.B. King - 03 - I Pity the Fool (with Buddy Guy).mp3;
You Shook Me (with John Lee Hooker);B.B. King;Blues Summit;4/12;Blues;1993;299;B.B. King - 04 - You Shook Me (with John Lee Hooker).mp3;
You've Done Lost You're Good Thing Now;B.B. King;Classics;5/10;Blues;1996;308;B.B. King - 05 - You've Done Lost You're Good Thing Now.mp3;
B.b. Blues (Original Mix);B.B. King;The Magic of Rhythm and Blues, Vol. 1;07;Rhythm n Blues;2021;149;B.B. King - 07 - B.b. Blues (Original Mix).mp3;
Call It Stormy Monday (with Albert Collins);B.B. King;Blues Summit;8/12;Blues;1993;438;B.B. King - 08 - Call It Stormy Monday (with Albert Collins).mp3;
Confessin' The Blues (With Marty Stuard);B.B. King;Deuces Wild;09;Blues;1997;262;B.B. King - 09 - Confessin' The Blues (With Marty Stuard).mp3;
It's My Own Fault Baby;B.B. King;Classics;9/10;Blues;1996;213;B.B. King - 09 - It's My Own Fault Baby.mp3;
The Thrill Is Gone;B.B. King;Classics;10/10;Blues;1996;292;B.B. King - 10 - The Thrill Is Gone.mp3;
Everybody's Had the Blues (with Joe Louis Walker);B.B. King;Blues Summit;12/12;Blues;1993;275;B.B. King - 12 - Everybody's Had the Blues (with Joe Louis Walker).mp3;
You Must Learn;B.D.P.;East vs. West: Rap Battle Royale;02/10;Hip Hop;1991;235;B.D.P. - 02 - You Must Learn.mp3;
Multiplexor;Back From The Wave;Various Artists #2;6;Electronic;2021;340;Back From The Wave - 06 - Multiplexor.mp3;
Bakchich Vaudoo;Back From The Wave;Various Artists #1;13;Electronic;2020;394;Back From The Wave - 13 - Bakchich Vaudoo.mp3;
Le Temple Du Soleil;Badknife;Various Artists #1;8;Electronic;2020;375;Badknife - 08 - Le Temple Du Soleil.mp3;
La Illaha (Original Mix);Bahramji;Chill out Magnifique, Vol. 1;21;Electronic Chill;2019-10-25;430;Bahramji - 21 - La Illaha (Original Mix).mp3;
Sem Fronteiras (Original Mix);Baroni;Chill out Magnifique, Vol. 1;16;Electronic Chill;2019-10-25;363;Baroni - 16 - Sem Fronteiras (Original Mix).mp3;
Pompeii;Bastille, Mark Crew, Joshua Platman, Dan Smith, Will farquarson, Chris Wood, Ralph Pelleymounter, Jon Willoughby, Ian Dudfield;100 Greatest Modern Pop Songs;27;Pop;2020;214;Bastille, Mark Crew, Joshua Platman, Dan Smith, Will farquarson, Chris Wood, Ralph Pelleymounter, Jon Willoughby, Ian Dudfield - 27 - Pompeii.mp3;
Soulville;Ben Webster;(1957) Soulville;01;Jazz;1957;484;Ben Webster - 01 - Soulville.mp3;
Late Date;Ben Webster;(1957) Soulville;02;Jazz;1957;436;Ben Webster - 02 - Late Date.mp3;
The Man I Love;Ben Webster;(1972) with Tete Montoliu Trio - Gentle Ben;02;Jazz;1972;340;Ben Webster - 02 - The Man I Love.mp3;
My Nephew Bent;Ben Webster;(1972) with Tete Montoliu Trio - Gentle Ben;03;Jazz;1972;329;Ben Webster - 03 - My Nephew Bent.mp3;
Time On My Hands;Ben Webster;(1957) Soulville;03;Jazz;1957;260;Ben Webster - 03 - Time On My Hands.mp3;
Groove Shop (Original Mix);Benirras;Chill out Magnifique, Vol. 2;22;Electronic Chill;2019-11-22;201;Benirras - 22 - Groove Shop (Original Mix).mp3;
Verdi - Rigoletto - Bella Figlia Dell' Amore;Benjamino Gigli;(1928-1933) Hall of Fame and more;2/19;Classical;1928;263;Benjamino Gigli - 02 - Verdi - Rigoletto - Bella Figlia Dell' Amore.mp3;
Rossini - La Danza;Benjamino Gigli;Hall of Fame Cd 5 (Songs 1926-1939);15/19;Classical;1938;181;Benjamino Gigli - 15 - Rossini - La Danza.mp3;
Honeysuckle Rose;Benny Carter;(1961) Further Definitions with Coleman Hawkins;01;Jazz;1961;233;Benny Carter - 01 - Honeysuckle Rose.mp3;
Old Fashioned Love;Benny Carter;(1958) Jazz Giant;01/7;Jazz;1958;471;Benny Carter - 01 - Old Fashioned Love.mp3;
Opening Blues;Benny Carter;(1962) BBB & CO;01/4;Jazz;1962;615;Benny Carter - 01 - Opening Blues.mp3;
I'm Coming Virginia;Benny Carter;(1958) Jazz Giant;02/7;Jazz;1958;349;Benny Carter - 02 - I'm Coming Virginia.mp3;
Out of the Past;Benny Golson;(1957) The Modern Touch;01/6;Jazz;1957;388;Benny Golson - 01 - Out of the Past.mp3;
Reunion;Benny Golson;(1957) The Modern Touch;02/6;Jazz;1957;441;Benny Golson - 02 - Reunion.mp3;
Venetian Breeze;Benny Golson;(1957) The Modern Touch;03/6;Jazz;1957;342;Benny Golson - 03 - Venetian Breeze.mp3;
Swing It;Benny Golson;(1960) Take a Number from 1 to 10;06;Jazz;1960;269;Benny Golson - 06 - Swing It.mp3;
When I Grow Too Old To Dream;Benny Goodman;(1954) B.G. In Hi-Fi;07;Swing;1954;203;Benny Goodman - 07 - When I Grow Too Old To Dream.mp3;
When A Lady Meets A Gentleman Down South;Benny Goodman;(1936) Chronological Classics Vol.2;8/22;Swing;1936;158;Benny Goodman - 08 - When A Lady Meets A Gentleman Down South.mp3;
You Brought A New Kind Of Love To Me;Benny Goodman;(1954) B.G. In Hi-Fi;08;Swing;1954;170;Benny Goodman - 08 - You Brought A New Kind Of Love To Me.mp3;
You're Giving Me A Song And A Dance;Benny Goodman;(1936) Chronological Classics Vol.2;9/22;Swing;1936;199;Benny Goodman - 09 - You're Giving Me A Song And A Dance.mp3;
After You've Gone;Benny Goodman;(1941-1945) Small Groups;11/18;Swing;1944;186;Benny Goodman - 11 - After You've Gone.mp3;
Rose Room;Benny Goodman;(1954) B.G. In Hi-Fi;13;Swing;1954;237;Benny Goodman - 13 - Rose Room.mp3;
Somebody Stole My Gal;Benny Goodman;(1954) B.G. In Hi-Fi;17;Swing;1954;205;Benny Goodman - 17 - Somebody Stole My Gal.mp3;
The Flat Foot Floogee;Benny Goodman;(1938) Chronogical Classics;17/22;Swing;1938;201;Benny Goodman - 17 - The Flat Foot Floogee.mp3;
(I Would Do) Anything For You;Benny Goodman;(1954) B.G. In Hi-Fi;18;Swing;1954;222;Benny Goodman - 18 - (I Would Do) Anything For You.mp3;
I've Got a Date With a Dream;Benny Goodman;(1938) Chronogical Classics;18/22;Swing;1938;188;Benny Goodman - 18 - I've Got a Date With a Dream.mp3;
Big John's Special;Benny Goodman;(1954) B.G. In Hi-Fi;19;Swing;1954;187;Benny Goodman - 19 - Big John's Special.mp3;
Let's Dance;Benny Goodman;(1954) B.G. In Hi-Fi;20;Swing;1954;176;Benny Goodman - 20 - Let's Dance.mp3;
Ev'rything I've Got (Belongs To You);Benny Goodman;(1954) B.G. In Hi-Fi;22;Swing;1954;234;Benny Goodman - 22 - Ev'rything I've Got (Belongs To You).mp3;
Nice Pants;Benny Green;Place to Be;01;Jazz Piano;1994;359;Benny Green - 01 - Nice Pants.mp3;
Playmate;Benny Green;Place to Be;02;Jazz Piano;1994;151;Benny Green - 02 - Playmate.mp3;
I Want to Talk About You;Benny Green;Place to Be;03;Jazz Piano;1994;419;Benny Green - 03 - I Want to Talk About You.mp3;
The Place to Be;Benny Green;Place to Be;04;Jazz Piano;1994;192;Benny Green - 04 - The Place to Be.mp3;
Promise Me;Beverley Craven;100 Hits - The Best - Soft Rock Album - CD5;08/20;Soul;2018;216;Beverley Craven - 08 - Promise Me.mp3;
Single Ladies;Beyonce;;002;Pop;;193;Beyonce - 02 - Single Ladies.mp3;
Halo;Beyonce;;43;Pop;;262;Beyonce - 43 - Halo.mp3;
Diva;Beyonce;;048;Pop;2008;201;Beyonce - 48 - Diva.mp3;
Little Bittie Gal's Blues;Big Joe Turner;Gigante del Blues;16/18;Blues;1944;203;Big Joe Turner - 16 - Little Bittie Gal's Blues.mp3;
Bye Bye Baby Blues;Big Joe Williams;Blues Classics - 100 Greatest Hits;2;Blues;;151;Big Joe Williams - 02 - Bye Bye Baby Blues.mp3;
Sinking Blues;Big Joe Williams;Blues Classics - 100 Greatest Hits;3;Blues;2001;144;Big Joe Williams - 03 - Sinking Blues.mp3;
Terraplane Blues;Big Joe Williams;Blues Classics - 100 Greatest Hits;15;Blues;2001;100;Big Joe Williams - 15 - Terraplane Blues.mp3;
Prime Time;Big Twins;The Academy 3;12/34;Hip Hop;2021;114;Big Twins - 12 - Prime Time.mp3;
Satin Doll;Bill Coleman;(1967) Ben Webster Meets Bill Coleman;3/9;Jazz;1967;294;Bill Coleman - 03 - Satin Doll.mp3;
I Love You;Bill Evans;(1956) New Jazz Conception;01;Jazz Piano;1956;236;Bill Evans - 01 - I Love You.mp3;
Five;Bill Evans;(1956) New Jazz Conception;02;Jazz Piano;1956;242;Bill Evans - 02 - Five.mp3;
Conception;Bill Evans;(1956) New Jazz Conception;03;Jazz Piano;1956;287;Bill Evans - 03 - Conception.mp3;
Easy Living;Bill Evans;(1956) New Jazz Conception;04;Jazz Piano;1956;233;Bill Evans - 04 - Easy Living.mp3;
Ain't No Sunshine;Bill Withers ;Ultimate Soul Collection Soul 100 Hits CD3;3;Soul;2008;123;Bill Withers  - 03 - Ain't No Sunshine.mp3;
What A Little Moonlight Can Do;Billie Holiday;1933-1936 Complete;05;Swing;1935;179;Billie Holiday - 05 - What A Little Moonlight Can Do.mp3;
I'm Still Waiting;Bily Paul ;The Ultimate Collection Soul 100 Hits CD02;1;Soul;2008;220;Bily Paul  - 01 - I'm Still Waiting.mp3;
War Pigs/Luke's Wall;Black Sabbath;Paranoid;1/8;Rock;1970;478;Black Sabbath - 01 - War PigsLuke's Wall.mp3;
Paranoid;Black Sabbath;Paranoid;2/8;Rock;1970;173;Black Sabbath - 02 - Paranoid.mp3;
Don't Leave Me;Blackstreet ;The Ultimate Collection Soul 100 Hits CD04;3;Soul;2008;251;Blackstreet  - 03 - Don't Leave Me.mp3;
Lay Low (Remix);Blacky, Sicko & Trav;East Side Gangsters 4;09/15;Hip Hop;2007;202;Blacky, Sicko & Trav - 09 - Lay Low (Remix).mp3;
Cool Blue Water (Original Mix);Bloomfield;Chill out Magnifique, Vol. 1;9;Electronic Chill;2019-10-25;322;Bloomfield - 09 - Cool Blue Water (Original Mix).mp3;
Minor Vamp;Blue Mitchell;(1959) Blue Soul;01/9;Jazz;1959;222;Blue Mitchell - 01 - Minor Vamp.mp3;
The Head;Blue Mitchell;(1959) Blue Soul;02/9;Jazz;1959;269;Blue Mitchell - 02 - The Head.mp3;
I'm a Man (Original Mix);Bo Diddley;The Magic of Rhythm and Blues, Vol. 1;10;Blues;2021;180;Bo Diddley - 10 - I'm a Man (Original Mix).mp3;
Talkin' New York;Bob Dylan;The Greenwich Village Folk Scene CD1;1;Folk;2014;200;Bob Dylan - 01 - Talkin' New York.mp3;
Highway 51;Bob Dylan;The Greenwich Village Folk Scene CD3;3/20;Folk;2014;173;Bob Dylan - 03 - Highway 51.mp3;
You're A Big Girl Now;Bob Dylan;(1974) Blood On The Tracks;3/10;Soft Rock;1974;275;Bob Dylan - 03 - You're A Big Girl Now.mp3;
Freight Train Blues;Bob Dylan;The Greenwich Village Folk Scene CD2;5/20;Folk;2014;139;Bob Dylan - 05 - Freight Train Blues.mp3;
If You See Her, Say Hello;Bob Dylan;(1974) Blood On The Tracks;8/10;Soft Rock;1974;288;Bob Dylan - 08 - If You See Her, Say Hello.mp3;
Pretty Peggy-O;Bob Dylan;The Greenwich Village Folk Scene CD2;18/20;Folk;2014;204;Bob Dylan - 18 - Pretty Peggy-O.mp3;
Baby, Let Me Follow You Down;Bob Dylan;The Greenwich Village Folk Scene CD3;19/20;Folk;2014;156;Bob Dylan - 19 - Baby, Let Me Follow You Down.mp3;
Yes I See;Bob Gibson;The Greenwich Village Folk Scene CD1;5;Folk;2014;120;Bob Gibson - 05 - Yes I See.mp3;
Daddy Roll 'Em;Bob Gibson;The Greenwich Village Folk Scene CD2;7/20;Folk;2014;174;Bob Gibson - 07 - Daddy Roll 'Em.mp3;
Springhill Mine Disaster;Bob Gibson;The Greenwich Village Folk Scene CD3;9/20;Folk;2014;125;Bob Gibson - 09 - Springhill Mine Disaster.mp3;
Ain't No Love In The Heart Of The City;Bobby Bland ;The Ultimate Collection Soul 100 Hits CD02;14;Soul;2008;230;Bobby Bland  - 14 - Ain't No Love In The Heart Of The City.mp3;
Treat Me The Same Way;Bobby Thurston ;The Ultimate Collection Soul 100 Hits CD02;15;Soul;2008;265;Bobby Thurston  - 15 - Treat Me The Same Way.mp3;
(I Don't Stand) A Ghost of a Chance;Bobby Timmons;Easy Does It (1961);04/8;Jazz Piano;1961;295;Bobby Timmons - 04 - (I Don't Stand) A Ghost of a Chance.mp3;
Pretty Memory;Bobby Timmons;Easy Does It (1961);05/8;Jazz Piano;1961;212;Bobby Timmons - 05 - Pretty Memory.mp3;
If You Could See Me Know;Bobby Timmons;Easy Does It (1961);06/8;Jazz Piano;1961;392;Bobby Timmons - 06 - If You Could See Me Know.mp3;
Beep  ;Bobby Valentino ft. Yung Joc;;092;Pop;2009;248;Bobby Valentino ft. Yung Joc - 92 - Beep  .mp3;
School (OG Mix) (feat. Killah Priest, Lupe Fiasco & Talib Kweli);Body Bag Ben;The Academy 3;27/34;Hip Hop;2021;239;Body Bag Ben - 27 - School (OG Mix) (feat. Killah Priest, Lupe Fiasco & Talib Kweli).mp3;
Run Away;Bonnie Spacey;Various Artists #1;10;Electronic;2020;402;Bonnie Spacey - 10 - Run Away.mp3;
Craig;Bonnie Spacey, Rem's Martinez;Various Artists #2;2;Electronic;2021;344;Bonnie Spacey, Rem's Martinez - 02 - Craig.mp3;
Blame It On My Youth;Brad Mehldau;(1997) The Art Of The Trio, Vol. 1;01;Jazz Piano;1997;377;Brad Mehldau - 01 - Blame It On My Youth.mp3;
I Didn't Know What Time It Was;Brad Mehldau;(1997) The Art Of The Trio, Vol. 1;02;Jazz Piano;1997;391;Brad Mehldau - 02 - I Didn't Know What Time It Was.mp3;
Ron's Place;Brad Mehldau;(1997) The Art Of The Trio, Vol. 1;03;Jazz Piano;1997;391;Brad Mehldau - 03 - Ron's Place.mp3;
Blackbird;Brad Mehldau;(1997) The Art Of The Trio, Vol. 1;04;Jazz Piano;1997;300;Brad Mehldau - 04 - Blackbird.mp3;
Lament for Linus;Brad Mehldau;(1997) The Art Of The Trio, Vol. 1;05;Jazz Piano;1997;279;Brad Mehldau - 05 - Lament for Linus.mp3;
No Backstage Pass;Branford Marsalis;(1984) Scenes In The City;01/6;Jazz;1984;408;Branford Marsalis - 01 - No Backstage Pass.mp3;
Solstice;Branford Marsalis;(1984) Scenes In The City;03/6;Jazz;1984;537;Branford Marsalis - 03 - Solstice.mp3;
