Title,Artist,Album,Track,Genre,Year,Length,Filename,zero_crossing_rate_mean,rms_mean,chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,Tempo
"Berlioz - Symphonie fantastique - I. Reveries, passions",Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",1,Classical,1967,822.0,"Ansermet - OSR - 01 - Berlioz - Symphonie fantastique - I. Reveries, passions.mp3",0.03822567588404605,0.016691133,0.33477902,1050.60678555661,1565.2849288460566,2020.5836151406493,123.046875
Berlioz - Symphonie fantastique - II. Un bal,Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",2,Classical,1967,371.0,Ansermet - OSR - 02 - Berlioz - Symphonie fantastique - II. Un bal.mp3,0.040861808847716716,0.027668359,0.33067706,852.8943287271953,1198.798649422532,1507.5138009369557,184.5703125
Berlioz - Symphonie fantastique - III. Scène aux champs,Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",3,Classical,1967,967.0,Ansermet - OSR - 03 - Berlioz - Symphonie fantastique - III. Scène aux champs.mp3,0.04224587077326819,0.006157429,0.2195559,872.8206071479939,1472.83733355127,1312.8441447444006,143.5546875
Berlioz - Symphonie fantastique - IV. Marche au supplice,Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",4,Classical,1967,309.0,Ansermet - OSR - 04 - Berlioz - Symphonie fantastique - IV. Marche au supplice.mp3,0.022066759989357584,0.04505681,0.43487185,564.9595070868987,1014.5249692322741,919.1590253044577,147.65625
Berlioz - Symphonie fantastique - V. Songe d'une nuit du sabbat,Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",5,Classical,1967,623.0,Ansermet - OSR - 05 - Berlioz - Symphonie fantastique - V. Songe d'une nuit du sabbat.mp3,0.030821998052921826,0.03764223,0.42038578,695.4196541561769,1209.1517882536305,1091.2496513626525,143.5546875
Berlioz - Le Carnaval Romain - Overture,Ansermet - OSR,"Berlioz - Overtures, Faust  (Ansermet, OSR)",7,Classical,1964,571.0,Ansermet - OSR - 07 - Berlioz - Le Carnaval Romain - Overture.mp3,0.03973067434210526,0.009491437,0.25797823,1079.475624794287,1797.3296034470388,1811.1598814973152,161.4990234375
Berlioz - La damnation de Faust - Danse des Sylphes,Ansermet - OSR,"Berlioz - Overtures, Faust  (Ansermet, OSR)",8,Classical,1964,138.0,Ansermet - OSR - 08 - Berlioz - La damnation de Faust - Danse des Sylphes.mp3,0.03367109269180534,0.008264797,0.29451004,1077.6619380354693,1862.683233038428,1949.8694594061412,112.34714673913044
Berlioz - La damnation de Faust - Marche Hongroise,Ansermet - OSR,"Berlioz - Overtures, Faust  (Ansermet, OSR)",9,Classical,1964,291.0,Ansermet - OSR - 09 - Berlioz - La damnation de Faust - Marche Hongroise.mp3,0.04394351734834559,0.036003634,0.32870418,842.5888514814734,1219.08578324215,1414.3956140098926,93.96306818181819
Devotion,Aperio/Georgia Ward,Liquicity Summer 2021,2,Electronic,2021,298.0,AperioGeorgia Ward - 02 - Devotion.mp3,0.10860251789860681,0.20998043,0.46047843,2299.053167699048,2199.8007321145783,4885.264209475679,87.5926906779661
Chain Of Fools,Aretha Franklin,Classic R&B,2/14,Rhythm n Blues,2003,166.0,Aretha Franklin - 02 - Chain Of Fools.mp3,0.04511405070868808,0.09873238,0.44991732,1034.8998535770077,1256.3561726224302,2031.400216400808,117.45383522727273
Think,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),2/24,Rhythm n Blues,2003,136.0,Aretha Franklin - 02 - Think.mp3,0.07145232681888544,0.20754564,0.34265798,1419.1320242343706,1568.1790104437055,2711.0794398068642,109.95678191489361
Son of a Preacher Man,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),6/24,Rhythm n Blues,2003,196.0,Aretha Franklin - 06 - Son of a Preacher Man.mp3,0.061671679233988,0.15268397,0.379199,1459.4493281530463,1785.1635838880848,3023.1983857996324,156.60511363636363
I Never Loved a Man (The Way I Love You),Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),7/24,Rhythm n Blues,2003,169.0,Aretha Franklin - 07 - I Never Loved a Man (The Way I Love You).mp3,0.05033406827471943,0.1600557,0.43459332,1254.804068974179,1600.1377675568535,2558.1866143288626,89.10290948275862
Night Time Is The Right Time,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 2),8/19,Rhythm n Blues,2002,285.0,Aretha Franklin - 08 - Night Time Is The Right Time.mp3,0.06810729791505418,0.13790509,0.38938433,1425.0242904751537,1739.3996833877263,2683.312941040417,105.46875
Don't Play That Song (You Lied),Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),9/24,Rhythm n Blues,2003,179.0,Aretha Franklin - 09 - Don't Play That Song (You Lied).mp3,0.06905929518188854,0.17671406,0.34071147,1522.2887102240281,1760.6034014355953,3064.9981330422793,109.95678191489361
"Baby, I Love You",Aretha Franklin,The Very Best Of Aretha Franklin,12/20,Rhythm n Blues,1994,159.0,"Aretha Franklin - 12 - Baby, I Love You.mp3",0.05183859432444853,0.05744078,0.40406033,1134.2817801115677,1503.1789182892226,2077.062440287587,90.66611842105263
The Weight,Aretha Franklin,The Very Best,13/16,Rhythm n Blues,1994,175.0,Aretha Franklin - 13 - The Weight.mp3,0.06751811024574303,0.14448863,0.38494664,1366.2769082034686,1477.5286653577941,2622.4049760092153,86.1328125
Eleanor Rigby,Aretha Franklin,The Very Best,14/16,Rhythm n Blues,1994,158.0,Aretha Franklin - 14 - Eleanor Rigby.mp3,0.04788037940813661,0.12617311,0.40205315,1166.9715732763677,1462.4594166768682,2401.0125647388377,123.046875
Today I Sing The Blues,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 2),14/19,Rhythm n Blues,2002,262.0,Aretha Franklin - 14 - Today I Sing The Blues.mp3,0.05013527884940983,0.08978885,0.37533358,1249.726411631635,1705.4763023260039,2319.106810011731,126.04801829268293
Good Times,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),17/24,Rhythm n Blues,2003,126.0,Aretha Franklin - 17 - Good Times.mp3,0.057306153855456655,0.22258358,0.39004445,1373.8981084297516,1657.4371991030055,2854.2035743548035,112.34714673913044
Do Right Woman - Do Right Man,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),21/24,Rhythm n Blues,2003,193.0,Aretha Franklin - 21 - Do Right Woman - Do Right Man.mp3,0.05716537617308436,0.13471486,0.3722841,1384.79060512946,1980.7756549065655,2910.99906425358,135.99917763157896
One Last Time,"Ariana Grande, Carl Falk, Savan Kotecha, Jeanette Olsson",100 Greatest Modern Pop Songs,17,Pop,2020,197.0,"Ariana Grande, Carl Falk, Savan Kotecha, Jeanette Olsson - 17 - One Last Time.mp3",0.04866136485947175,0.31650367,0.38959908,1561.855495806656,2020.568708145322,3751.6314810643626,126.04801829268293
Moanin',Art Blakey,"Moanin', 1958",02,Jazz,1958,571.0,Art Blakey - 02 - Moanin'.mp3,0.09218198227070433,0.13979143,0.35335147,2385.671852005348,2831.8437033455925,5841.2146789739745,129.19921875
Just One Of Those Things,Art Tatum,(1956) Art Tatum Trio,01,Jazz Piano,1956,434.0,Art Tatum - 01 - Just One Of Those Things.mp3,0.02479784702738003,0.049539696,0.32653794,533.5835098132303,866.994415467189,913.4590597713695,143.5546875
More Than You Know,Art Tatum,(1956) Art Tatum Trio,02,Jazz Piano,1956,217.0,Art Tatum - 02 - More Than You Know.mp3,0.020792958168053405,0.038165197,0.34284127,484.2154551561929,955.4392931061516,708.372799899925,92.28515625
Some Other Spring,Art Tatum,(1956) Art Tatum Trio,03,Jazz Piano,1956,284.0,Art Tatum - 03 - Some Other Spring.mp3,0.02161041354247291,0.035698883,0.33532786,489.2295560447683,956.559970401765,717.2644128002249,92.28515625
If,Art Tatum,(1956) Art Tatum Trio,04,Jazz Piano,1956,213.0,Art Tatum - 04 - If.mp3,0.025198543772977942,0.033748887,0.330511,531.8037847388257,1023.8253022081659,769.62451285253,89.10290948275862
Beethoven - Sonata No. 1 - 1. Alegro con brio Tema con variazioni,Arthur Grumiaux,"Beethoven - Sonata No. 1 in D, Op. 12, No. 1 (Grumiaux)",1,Classical,1957,398.0,Arthur Grumiaux - 01 - Beethoven - Sonata No. 1 - 1. Alegro con brio Tema con variazioni.mp3,0.044071445524138934,0.09299169,0.23948832,699.739571660059,927.2172827801901,1097.657945945905,143.5546875
Mozart - Concerto No.1 in B flat KV207 - 1. Allegro moderato ,Arthur Grumiaux,"Mozart - Concerto No.1 in B flat KV207 (Grumiaux,1962)",01,Classical,1962,395.0,Arthur Grumiaux - 01 - Mozart - Concerto No.1 in B flat KV207 - 1. Allegro moderato .mp3,0.048771436000387,0.043940257,0.27691546,875.3630829352677,1158.3529107139839,1526.2907707285217,129.19921875
"Haydn - Concerto No. 1 in C major, H. 7a/1: 2 Adagio",Arthur Grumiaux,"Haydn - Concerto No.1 in C major, H. 7a/1 (Grumiaux)",2/9,Classical,1964,275.0,"Arthur Grumiaux - 02 - Haydn - Concerto No. 1 in C major, H. 7a1 2 Adagio.mp3",0.05989013293948336,0.019068755,0.20090985,1191.3194875045274,1612.393514778781,1984.8379979561726,135.99917763157896
Mozart - Concerto No.1 in B flat KV207 - 2. Adagio ,Arthur Grumiaux,"Mozart - Concerto No.1 in B flat KV207 (Grumiaux,1962)",02,Classical,1962,417.0,Arthur Grumiaux - 02 - Mozart - Concerto No.1 in B flat KV207 - 2. Adagio .mp3,0.04147064870356037,0.032904584,0.28637683,878.0982031892426,1312.0293160624567,1586.432073728957,120.18531976744185
Bach Concerto for 2 Violins in D Minor - III.,Arthur Grumiaux,"Bach - Concerto for 2 Violins in D Minor, BVW 1043 (Grumiaux)",03,Classical,1978,305.0,Arthur Grumiaux - 03 - Bach Concerto for 2 Violins in D Minor - III..mp3,0.050359861769543345,0.062268905,0.2801701,953.1888028235944,1276.0826442922912,1671.833640650699,95.703125
"Bruch - Scottish Fantasy, Op.46 - III. Scherzo - Allegro - Adagio",Arthur Grumiaux,"Bruch - Scottish Fantasy, Op.46 (Grumiaux)",03/11,Classical,1973,377.0,"Arthur Grumiaux - 03 - Bruch - Scottish Fantasy, Op.46 - III. Scherzo - Allegro - Adagio.mp3",0.04396628742985681,0.063668706,0.31398138,782.6861130585022,1028.2158410521465,1375.8229305869654,120.18531976744185
"Haydn - Concerto in G major, H. 7a/4: 3 Allegro",Arthur Grumiaux,"Haydn - Concerto No.4 in G major, H. 7a/4 (Grumiaux)",03/9,Classical,1967,231.0,"Arthur Grumiaux - 03 - Haydn - Concerto in G major, H. 7a4 3 Allegro.mp3",0.05296424889343073,0.05252896,0.29426363,991.1254474604152,1252.8600024562013,1722.254169097995,139.6748310810811
"Beethoven: Violin Romance #2 In F, Op. 50",Arthur Grumiaux,(1967-75) Showpieces with Orchestra,07/5,Classical,1974,483.0,"Arthur Grumiaux - 07 - Beethoven Violin Romance #2 In F, Op. 50.mp3",0.03758055506845008,0.026000304,0.2728617,700.3867506133238,1027.9250425691657,1185.0657507362012,143.5546875
"Vivaldi - Concerto in E, RV 271 'L'amoroso', III Allegro",Arthur Grumiaux,"Vivaldi - Concerto in E, RV 271 'L'amoroso' (Grumiaux)",11/11,Classical,1973,222.0,"Arthur Grumiaux - 11 - Vivaldi - Concerto in E, RV 271 'L'amoroso', III Allegro.mp3",0.060318229368227554,0.047140386,0.23818193,1125.7788607702032,1293.5332886819313,1939.9986857600256,101.33272058823529
Secret Lovers,Atlantic Starr ,The Ultimate Collection Soul 100 Hits CD02,4,Soul,2008,217.0,Atlantic Starr  - 04 - Secret Lovers.mp3,0.05890535053453947,0.17007822,0.39666632,1601.5495600171778,1881.2120484308539,3637.8946688153055,78.30255681818181
Voodoo Rythm,Atlas 221,Various Artists #1,4,Electronic,2020,394.0,Atlas 221 - 04 - Voodoo Rythm.mp3,0.036835945058533284,0.2041831,0.5862418,1127.8581962915925,1593.3066892675763,2339.5087699772034,117.45383522727273
Noa (feat. Leonie),Audioleptika,Winter Collection 2017,11/19,Electronic,2017,429.0,Audioleptika - 11 - Noa (feat. Leonie).mp3,0.009598014524477554,0.28863248,0.76745844,470.421932864601,826.3979594196173,990.658592956354,123.046875
Wake Me Up,"Avicii, Aloe Blacc, Mike Einziger",100 Greatest Modern Pop Songs,15,Pop,2020,426.0,"Avicii, Aloe Blacc, Mike Einziger - 15 - Wake Me Up.mp3",0.04399160851635062,0.16626675,0.49309734,1249.55294541545,1582.122529254066,2800.674731369727,126.04801829268293
Playin' with My Friends (with Robert Cray),B.B. King,Blues Summit,1/12,Blues,1993,319.0,B.B. King - 01 - Playin' with My Friends (with Robert Cray).mp3,0.06125983365179954,0.13018048,0.37900653,1717.402169193968,2132.201689897687,3864.6412143766324,120.18531976744185
Since I Met You Baby (with Katie Webster),B.B. King,Blues Summit,2/12,Blues,1993,285.0,B.B. King - 02 - Since I Met You Baby (with Katie Webster).mp3,0.03419168667158475,0.09238689,0.44982204,1114.0657096180344,1675.7916592317727,2274.304997588828,95.703125
I Pity the Fool (with Buddy Guy),B.B. King,Blues Summit,3/12,Blues,1993,277.0,B.B. King - 03 - I Pity the Fool (with Buddy Guy).mp3,0.058742558623984135,0.124740764,0.3986154,1414.636597075453,1806.588947978429,2972.1861942633755,75.99954044117646
You Shook Me (with John Lee Hooker),B.B. King,Blues Summit,4/12,Blues,1993,299.0,B.B. King - 04 - You Shook Me (with John Lee Hooker).mp3,0.0474618256276606,0.0885696,0.4525739,1317.103753717928,1717.1075897172523,2770.9769942812136,166.70866935483872
You've Done Lost You're Good Thing Now,B.B. King,Classics,5/10,Blues,1996,308.0,B.B. King - 05 - You've Done Lost You're Good Thing Now.mp3,0.0652300477396962,0.051431306,0.30882302,811.6132628478111,589.1139025109718,1338.3294073051713,77.1338619402985
B.b. Blues (Original Mix),B.B. King,"The Magic of Rhythm and Blues, Vol. 1",07,Rhythm n Blues,2021,149.0,B.B. King - 07 - B.b. Blues (Original Mix).mp3,0.06596161927970201,0.15830714,0.28054655,1004.9860840470872,876.0134920387239,1888.3781645689216,79.50721153846153
Call It Stormy Monday (with Albert Collins),B.B. King,Blues Summit,8/12,Blues,1993,438.0,B.B. King - 08 - Call It Stormy Monday (with Albert Collins).mp3,0.05005912662659636,0.081765376,0.39220393,1320.2823426220796,1669.8105210169629,2895.5949907332383,97.50884433962264
Confessin' The Blues (With Marty Stuard),B.B. King,Deuces Wild,09,Blues,1997,262.0,B.B. King - 09 - Confessin' The Blues (With Marty Stuard).mp3,0.06264011631071013,0.16680643,0.47099662,1608.2146604094694,1913.3493739619942,3495.2746978854248,117.45383522727273
It's My Own Fault Baby,B.B. King,Classics,9/10,Blues,1996,213.0,B.B. King - 09 - It's My Own Fault Baby.mp3,0.061044509934936146,0.07226441,0.31101567,827.0779890921453,666.8261004026958,1419.0705857409782,224.69429347826087
The Thrill Is Gone,B.B. King,Classics,10/10,Blues,1996,292.0,B.B. King - 10 - The Thrill Is Gone.mp3,0.043100268479102165,0.04251805,0.4717642,957.7528715493588,1260.1237420550763,1869.7824436813685,86.1328125
Everybody's Had the Blues (with Joe Louis Walker),B.B. King,Blues Summit,12/12,Blues,1993,275.0,B.B. King - 12 - Everybody's Had the Blues (with Joe Louis Walker).mp3,0.06910710290489551,0.14748728,0.3958371,1704.3081384129403,1991.9510633787977,3587.1970587101514,103.359375
You Must Learn,B.D.P.,East vs. West: Rap Battle Royale,02/10,Hip Hop,1991,235.0,B.D.P. - 02 - You Must Learn.mp3,0.0774998148159346,0.09257309,0.52199745,1832.7051142774758,1843.764477762233,3675.559024397434,109.95678191489361
Multiplexor,Back From The Wave,Various Artists #2,6,Electronic,2021,340.0,Back From The Wave - 06 - Multiplexor.mp3,0.038420402597716716,0.24036847,0.508938,1295.2573189000875,1516.7558356062668,2874.561784584825,126.04801829268293
Bakchich Vaudoo,Back From The Wave,Various Artists #1,13,Electronic,2020,394.0,Back From The Wave - 13 - Bakchich Vaudoo.mp3,0.0791486143696788,0.11881809,0.59179413,1932.0237990979017,2069.005016570455,4105.7668396562985,117.45383522727273
Le Temple Du Soleil,Badknife,Various Artists #1,8,Electronic,2020,375.0,Badknife - 08 - Le Temple Du Soleil.mp3,0.03528474506578947,0.20929545,0.66970366,1042.8783244205472,1329.3936574652912,2136.0120838271573,120.18531976744185
La Illaha (Original Mix),Bahramji,"Chill out Magnifique, Vol. 1",21,Electronic Chill,2019-10-25,430.0,Bahramji - 21 - La Illaha (Original Mix).mp3,0.049168258997678016,0.05903695,0.35973015,817.5905686628241,1049.4450748849883,1433.1184174623284,101.33272058823529
Sem Fronteiras (Original Mix),Baroni,"Chill out Magnifique, Vol. 1",16,Electronic Chill,2019-10-25,363.0,Baroni - 16 - Sem Fronteiras (Original Mix).mp3,0.04387369539715557,0.10510597,0.5048518,1072.008253662556,1380.3894404571818,2055.4396543709486,90.66611842105263
Pompeii,"Bastille, Mark Crew, Joshua Platman, Dan Smith, Will farquarson, Chris Wood, Ralph Pelleymounter, Jon Willoughby, Ian Dudfield",100 Greatest Modern Pop Songs,27,Pop,2020,214.0,"Bastille, Mark Crew, Joshua Platman, Dan Smith, Will farquarson, Chris Wood, Ralph Pelleymounter, Jon Willoughby, Ian Dudfield - 27 - Pompeii.mp3",0.0577122360560178,0.22140862,0.43139756,1571.3011373462557,1896.3247952346474,3381.658718239043,126.04801829268293
Soulville,Ben Webster,(1957) Soulville,01,Jazz,1957,484.0,Ben Webster - 01 - Soulville.mp3,0.022981059071449303,0.07816153,0.41837367,987.1273098155153,1760.309736212213,1896.8760298501597,117.45383522727273
Late Date,Ben Webster,(1957) Soulville,02,Jazz,1957,436.0,Ben Webster - 02 - Late Date.mp3,0.04746097529266641,0.10649551,0.4096274,1482.0050963232472,1992.8425202115332,3205.3514510116343,120.18531976744185
The Man I Love,Ben Webster,(1972) with Tete Montoliu Trio - Gentle Ben,02,Jazz,1972,340.0,Ben Webster - 02 - The Man I Love.mp3,0.022497879831414474,0.03661689,0.37176493,849.8941484411812,1453.5340746825073,1639.6775850939678,161.4990234375
My Nephew Bent,Ben Webster,(1972) with Tete Montoliu Trio - Gentle Ben,03,Jazz,1972,329.0,Ben Webster - 03 - My Nephew Bent.mp3,0.04426636120114164,0.04988762,0.4030081,1325.8117388100338,1667.218571235244,2870.7263911102577,107.666015625
Time On My Hands,Ben Webster,(1957) Soulville,03,Jazz,1957,260.0,Ben Webster - 03 - Time On My Hands.mp3,0.04180161797963429,0.048670813,0.2921833,1445.7747247696375,2175.7332218301067,3124.989436949739,99.38401442307692
Groove Shop (Original Mix),Benirras,"Chill out Magnifique, Vol. 2",22,Electronic Chill,2019-11-22,201.0,Benirras - 22 - Groove Shop (Original Mix).mp3,0.0384229536026993,0.17318007,0.50548184,1416.055141091673,1938.16333387776,3081.6626156077664,161.4990234375
Verdi - Rigoletto - Bella Figlia Dell' Amore,Benjamino Gigli,(1928-1933) Hall of Fame and more,2/19,Classical,1928,263.0,Benjamino Gigli - 02 - Verdi - Rigoletto - Bella Figlia Dell' Amore.mp3,0.06028960142342299,0.07295702,0.27041435,1174.4411883735743,1591.0227864131082,1955.8985896154823,123.046875
